Name,Description,Price
Butter,Land  O’Lakes Salted Butter,3
Cheddar cheese,Kraft Cheddar Cheese Slices,4
Milk,Horizon 2% Milk,3
Vanilla Yogurt,Yoplait Light ‘n Fit Nonfat Vanilla Yogurt,2
Chocolate Ice Cream,Breyer’s Chocolate Ice Cream,6
Sandwich Bread,Wonder Bread Sandwich Bread,3
Vinegar,Alessi Balsalmic Vinegar,2
Horseradish,Boar’s Head Horseradish,2
Bananas,Dole Bananas,1
Peppermint,365 Dried Peppermint Flakes,2
Whole Wheat English Muffin,Oroweat 100% Whole Wheat English Muffin,4
Cinnamon Toast Crunch,Big G Cereals Cinnamon Toast Crunch,4
Olive Oil,Bertolli Extra Virgin Olive Oil,4
Chicken Breast,Tyson Foods Chicken Breast,5
Tomato Soup,Campbell’s Condensed Tomato Soup,4
Honey Almond Flax Cereal,Kashi Company GoLean Crunch! Honey Almond Flax Cereal,6
Three Cheese Tortellini,Buitoni Three Cheese Tortellini,6
Turkey Breast,Oscar Mayer Oven Roasted White Turkey,6
Raisin Bran Cereal,Kellogg Co. Raisin Bran Cereal,4
Bologna,Wegmans Wunderbar German Deli Bologna,6
Smoked Ham,Oscar Mayer Deli Style Smoked Ham,7
Apple Juice,Mott’s Natural Apple Juice,2
Pinto Beans,Canned Pinto Beans,1
Beets,Whole Food Market Beets,1
Sweet Peas,Green Giant Sweet Peas,1
Green Bell Peppers,Earthbound Farms Green Bell Peppers,1
Dark Chocolate Bar,Dove Dark Chocolate Bar,1
Oats ‘N Honey Crunchy Granola Bars,Nature Valley Oats ‘N Honey Crunchy Granola Bars,1
Rice Pilaf: Roasted Almond Flavor,Near East Rice Pilaf: Roasted Almond Flavor,4
Whole Wheat Penne Pasta,Hodgson Mill Whole Wheat Penne Pasta,2
Macaroni & Cheese,Kraft Macaroni and Cheese,2
Peanut Butter,Jiffy Creamy Peanut Butter,4
Green Beans,Del Monte Green Beans,1
Broccoli Florets,Earthbound Farm Broccoli,1
